comp,year,discp,seg,skname,nat,elen,eles,lvl,bl,dg,ur,ue,we,iv,ele,bv,goe,goej1,goej2,goej3,goej4,goej5,goej6,goej7,goej8,goej9,ets
ec,2018,1,0,Alina ZAGITOVA,RUS,1,FCSp,4,0,0,0,0,0,0,FCSp4,3.20,1.00,2,1,2,2,2,1,3,2,3,4.20
ec,2018,1,0,Alina ZAGITOVA,RUS,2,StSq,4,0,0,0,0,0,0,StSq4,3.90,1.60,2,2,2,2,2,3,1,3,3,5.50
ec,2018,1,0,Alina ZAGITOVA,RUS,3,3Lz+3Lo,-,1,0,0,0,0,0,3Lz+3Lo,12.21,1.40,3,2,2,2,2,1,2,2,2,13.61
ec,2018,1,0,Alina ZAGITOVA,RUS,4,3F,-,1,0,0,0,0,0,3F,5.83,1.60,3,3,2,3,2,2,2,2,2,7.43
ec,2018,1,0,Alina ZAGITOVA,RUS,5,2A,-,1,0,0,0,0,0,2A,3.63,0.71,3,1,1,2,2,1,1,1,2,4.34
ec,2018,1,0,Alina ZAGITOVA,RUS,6,LSp,4,0,0,0,0,0,0,LSp4,2.70,1.50,3,3,3,3,3,3,2,3,3,4.20
ec,2018,1,0,Alina ZAGITOVA,RUS,7,CCoSp,4,0,0,0,0,0,0,CCoSp4,3.50,1.21,3,2,2,3,2,2,2,3,3,4.71
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,1,FCSp,4,0,0,0,0,0,0,FCSp4,3.20,1.00,3,2,2,2,2,2,2,2,2,4.20
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,2,StSq,4,0,0,0,0,0,0,StSq4,3.90,2.00,3,3,3,2,3,3,2,3,3,5.90
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,3,3F+3T,-,1,0,0,0,0,0,3F+3T,10.56,1.30,2,1,1,2,2,2,2,2,2,11.86
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,4,3Lo,-,1,0,0,0,0,0,3Lo,5.61,1.60,3,3,2,2,2,2,3,2,2,7.21
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,5,2A,-,1,0,0,0,0,0,2A,3.63,-1.00,-2,-2,-2,-2,-2,0,-2,-2,-2,2.63
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,6,CCoSp,4,0,0,0,0,0,0,CCoSp4,3.50,1.14,3,2,2,2,3,3,2,2,2,4.64
ec,2018,1,0,Evgenia MEDVEDEVA,RUS,7,LSp,4,0,0,0,0,0,0,LSp4,2.70,1.29,3,3,2,3,2,2,2,3,3,3.99
ec,2018,1,0,Carolina KOSTNER,ITA,1,3F+3T,-,0,0,0,0,0,0,3F+3T,9.60,0.70,1,1,1,2,1,1,1,1,1,10.30
ec,2018,1,0,Carolina KOSTNER,ITA,2,3Lo,-,0,0,0,0,0,0,3Lo,5.10,1.50,3,2,2,3,1,2,2,2,2,6.60
ec,2018,1,0,Carolina KOSTNER,ITA,3,FCSp,4,0,0,0,0,0,0,FCSp4,3.20,0.86,2,2,1,2,2,2,2,1,1,4.06
ec,2018,1,0,Carolina KOSTNER,ITA,4,2A,-,1,0,0,0,0,0,2A,3.63,1.00,3,2,2,2,2,2,2,2,2,4.63
ec,2018,1,0,Carolina KOSTNER,ITA,5,LSp,4,0,0,0,0,0,0,LSp4,2.70,1.00,3,2,2,2,2,2,2,1,2,3.70
ec,2018,1,0,Carolina KOSTNER,ITA,6,StSq,4,0,0,0,0,0,0,StSq4,3.90,2.10,3,3,3,3,3,3,2,3,3,6.00
ec,2018,1,0,Carolina KOSTNER,ITA,7,CCoSp,4,0,0,0,0,0,0,CCoSp4,3.50,1.14,3,2,2,3,2,2,2,2,3,4.64
ec,2018,1,0,Maria SOTSKOVA,RUS,1,3Lz,-,0,0,0,0,0,0,3Lz,6.00,-1.60,-3,-3,-1,-1,-2,-2,-2,-3,-3,4.40
ec,2018,1,0,Maria SOTSKOVA,RUS,2,CCoSp,4,0,0,0,0,0,0,CCoSp4,3.50,0.86,2,1,2,2,2,2,2,1,1,4.36
ec,2018,1,0,Maria SOTSKOVA,RUS,3,3F+3T,-,1,0,0,0,0,0,3F+3T,10.56,0.70,2,0,1,2,0,2,1,1,0,11.26
ec,2018,1,0,Maria SOTSKOVA,RUS,4,2A,-,1,0,0,0,0,0,2A,3.63,0.50,1,1,1,1,1,1,1,2,1,4.13
ec,2018,1,0,Maria SOTSKOVA,RUS,5,FCSp,4,0,0,0,0,0,0,FCSp4,3.20,0.21,0,0,1,1,0,0,1,0,1,3.41
ec,2018,1,0,Maria SOTSKOVA,RUS,6,StSq,3,0,0,0,0,0,0,StSq3,3.30,0.93,2,2,2,2,2,2,2,1,1,4.23
