comp,year,discp,field,seg,skname,nat,rank,order,tss,tes,tpcs,tded,tbv,pcs1f,pcs1j1,pcs1j2,pcs1j3,pcs1j4,pcs1j5,pcs1j6,pcs1j7,pcs1j8,pcs1j9,pcs1t,pcs2f,pcs2j1,pcs2j2,pcs2j3,pcs2j4,pcs2j5,pcs2j6,pcs2j7,pcs2j8,pcs2j9,pcs2t,pcs3f,pcs3j1,pcs3j2,pcs3j3,pcs3j4,pcs3j5,pcs3j6,pcs3j7,pcs3j8,pcs3j9,pcs3t,pcs4f,pcs4j1,pcs4j2,pcs4j3,pcs4j4,pcs4j5,pcs4j6,pcs4j7,pcs4j8,pcs4j9,pcs4t,pcs5f,pcs5j1,pcs5j2,pcs5j3,pcs5j4,pcs5j5,pcs5j6,pcs5j7,pcs5j8,pcs5j9,pcs5t,
sht,2017,1,0,1,Elena RADIONOVA,RUS,1,4,131.06,65.20,65.86,0.00,60.07,1.60,7.75,7.50,8.50,8.50,8.50,-,-,-,-,8.25,1.60,7.50,7.25,8.25,8.25,8.25,-,-,-,-,8.00,1.60,7.75,7.25,8.75,8.75,8.50,-,-,-,-,8.33,1.60,7.75,7.25,8.50,8.50,8.50,-,-,-,-,8.25,1.60,8.00,7.00,8.50,8.75,8.50,-,-,-,-,8.33,
sht,2017,1,0,1,Elizabet TURSYNBAEVA,KAZ,2,5,128.45,63.98,65.47,1.00,58.46,1.60,8.00,7.50,8.50,8.00,8.25,-,-,-,-,8.08,1.60,8.25,7.25,8.50,8.00,8.00,-,-,-,-,8.08,1.60,8.00,6.50,8.75,8.25,8.25,-,-,-,-,8.17,1.60,8.00,7.25,8.75,8.00,8.50,-,-,-,-,8.17,1.60,8.25,6.50,8.50,8.50,8.50,-,-,-,-,8.42,
sht,2017,1,0,1,Maria SOTSKOVA,RUS,3,6,128.18,60.18,68.00,0.00,56.99,1.60,8.25,8.50,8.75,8.50,8.50,-,-,-,-,8.50,1.60,8.00,8.25,8.50,8.00,8.50,-,-,-,-,8.25,1.60,8.50,8.25,8.75,8.75,8.75,-,-,-,-,8.67,1.60,8.50,8.50,8.75,8.50,8.75,-,-,-,-,8.58,1.60,8.50,8.25,8.50,8.50,8.50,-,-,-,-,8.50,
sht,2017,1,0,1,Hanul KIM,KOR,4,1,109.85,57.71,52.14,0.00,54.21,1.60,7.00,6.25,6.50,6.75,6.75,-,-,-,-,6.67,1.60,6.75,5.50,6.25,6.00,6.25,-,-,-,-,6.17,1.60,7.50,4.75,6.50,6.75,6.75,-,-,-,-,6.67,1.60,7.25,5.50,6.50,6.25,6.75,-,-,-,-,6.50,1.60,7.00,4.50,6.75,6.50,6.50,-,-,-,-,6.58,
sht,2017,1,0,1,Kailani CRAINE,AUS,5,3,98.33,46.26,53.07,1.00,47.96,1.60,6.75,6.25,6.75,6.50,6.75,-,-,-,-,6.67,1.60,6.50,6.25,6.50,6.25,6.75,-,-,-,-,6.42,1.60,6.75,6.00,7.00,6.50,7.00,-,-,-,-,6.75,1.60,6.75,6.00,6.75,6.25,7.00,-,-,-,-,6.58,1.60,7.00,6.00,6.75,6.50,7.25,-,-,-,-,6.75,
sht,2017,1,0,1,Micol CRISTINI,ITA,6,2,83.37,36.84,48.53,2.00,42.04,1.60,6.50,6.25,6.00,6.00,6.50,-,-,-,-,6.25,1.60,6.00,6.25,5.75,5.75,5.75,-,-,-,-,5.83,1.60,6.25,6.00,5.75,6.00,6.00,-,-,-,-,6.00,1.60,6.50,6.25,6.00,6.25,6.25,-,-,-,-,6.25,1.60,6.25,6.00,5.75,5.75,6.25,-,-,-,-,6.00,
ec,2018,1,0,0,Alina ZAGITOVA,RUS,1,39,80.27,43.99,36.28,0.00,34.97,0.80,9.00,8.50,9.00,9.25,9.00,8.25,9.00,9.00,9.50,8.96,0.80,9.25,8.00,8.75,9.00,8.75,8.50,8.75,8.75,9.75,8.82,0.80,9.00,8.75,9.00,9.50,9.50,9.25,9.25,8.75,10.00,9.18,0.80,9.25,8.75,9.25,9.25,9.25,8.75,9.00,9.25,9.50,9.14,0.80,9.25,8.50,9.25,9.50,9.50,9.25,9.00,9.00,10.00,9.25,
ec,2018,1,0,0,Evgenia MEDVEDEVA,RUS,2,38,78.57,40.43,38.14,0.00,33.10,0.80,9.25,9.00,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.46,0.80,9.50,9.00,9.25,9.75,9.25,9.25,9.50,9.50,9.50,9.39,0.80,9.50,9.50,9.25,9.50,9.50,9.75,9.75,9.50,9.75,9.57,0.80,9.75,9.25,9.50,9.50,9.75,9.50,9.75,9.50,9.50,9.57,0.80,9.75,9.00,9.50,9.75,10.00,9.75,9.50,9.75,9.75,9.68,
ec,2018,1,0,0,Carolina KOSTNER,ITA,3,35,78.30,39.93,38.37,0.00,31.63,0.80,9.50,9.50,9.25,9.75,9.50,9.25,9.25,9.00,9.50,9.39,0.80,9.50,9.50,9.25,9.75,9.00,9.25,9.25,9.00,9.00,9.25,0.80,9.75,10.00,9.75,9.75,9.75,10.00,9.75,9.50,9.50,9.75,0.80,10.00,9.75,9.75,10.00,9.50,9.75,9.50,9.25,9.75,9.71,0.80,10.00,9.75,9.75,10.00,10.00,10.00,9.50,9.50,10.00,9.86,
ec,2018,1,0,0,Maria SOTSKOVA,RUS,4,37,68.70,35.13,33.57,0.00,32.89,0.80,7.75,8.25,8.75,8.75,8.50,8.25,9.00,8.25,7.50,8.36,0.80,7.75,7.75,8.50,8.75,8.25,8.25,8.75,7.75,6.50,8.14,0.80,8.00,8.50,8.75,9.25,8.50,8.50,9.25,7.75,7.75,8.46,0.80,8.25,8.25,8.75,8.75,8.75,8.25,9.00,8.00,7.25,8.43,0.80,8.25,8.25,8.75,9.00,9.00,8.50,9.00,8.25,8.00,8.57,
ec,2018,1,0,0,Nicole RAJICOVA,SVK,5,36,61.01,32.47,28.54,0.00,30.13,0.80,7.25,7.25,7.75,7.00,7.25,7.00,7.75,6.75,7.00,7.21,0.80,7.00,7.00,7.50,6.50,7.00,6.50,7.50,6.00,6.25,6.82,0.80,7.50,7.50,7.75,7.00,7.25,7.25,8.25,6.25,6.75,7.29,0.80,7.50,7.50,7.50,6.75,7.50,6.75,8.00,6.50,6.25,7.14,0.80,7.25,7.50,7.75,6.75,7.50,7.00,8.00,6.25,6.75,7.21,
ec,2018,1,0,0,Anita ÖSTLUND,SWE,6,29,56.04,32.04,24.00,0.00,31.59,0.80,5.50,6.00,6.25,5.75,5.75,6.00,6.50,6.25,7.00,6.07,0.80,5.75,5.50,6.00,5.50,5.25,6.25,6.00,6.00,6.00,5.82,0.80,5.50,6.00,5.75,5.75,6.00,6.25,6.25,6.25,6.50,6.04,0.80,6.00,5.75,6.00,5.50,5.75,6.50,6.50,6.50,6.50,6.14,0.80,5.50,5.50,6.00,5.75,5.50,6.25,6.25,6.25,6.50,5.93,
ec,2018,1,0,0,Laurine LECAVELIER,FRA,7,40,55.36,26.21,29.15,0.00,26.26,0.80,7.00,7.00,8.00,7.75,7.00,7.25,8.25,7.00,7.25,7.32,0.80,7.50,6.00,7.50,7.25,6.50,6.50,8.00,6.75,6.75,6.96,0.80,7.75,7.00,8.00,7.75,6.50,6.50,8.00,7.50,7.00,7.36,0.80,8.00,6.50,7.75,7.50,7.00,6.75,8.25,7.50,6.75,7.32,0.80,8.00,6.75,8.00,7.75,6.75,7.00,8.00,7.25,7.50,7.46,
ec,2018,1,0,0,Loena HENDRICKX,BEL,8,21,55.13,28.44,26.69,0.00,23.43,0.80,6.75,5.25,6.75,6.50,7.00,6.50,7.50,6.25,6.50,6.61,0.80,7.00,5.00,6.50,6.50,7.00,6.25,7.00,6.00,5.75,6.43,0.80,7.25,5.50,7.00,6.75,7.00,7.25,7.50,6.50,6.00,6.82,0.80,7.25,5.00,6.75,6.50,7.25,6.50,7.50,6.50,6.00,6.68,0.80,7.25,5.50,7.00,6.75,7.25,6.75,7.75,6.25,6.50,6.82,
ec,2018,1,0,0,Alexia PAGANINI,SUI,9,15,54.95,31.75,23.20,0.00,28.93,0.80,6.00,5.00,6.00,4.25,6.00,6.25,6.50,5.75,6.00,5.86,0.80,5.75,5.00,5.50,4.00,5.75,6.25,6.00,5.25,5.25,5.50,0.80,6.00,5.50,6.00,4.50,6.00,6.50,6.50,5.50,6.00,5.93,0.80,6.00,5.25,5.75,4.50,6.25,6.50,6.25,6.00,5.75,5.89,0.80,6.00,5.00,6.00,4.25,6.25,6.75,5.75,5.50,6.25,5.82,
ec,2018,1,0,0,Mae Berenice MEITE,FRA,10,32,54.14,29.57,25.57,1.00,29.45,0.80,6.00,6.00,7.00,5.75,6.00,6.25,6.75,6.50,6.50,6.29,0.80,6.00,6.00,6.75,5.75,6.00,5.75,6.25,6.25,5.75,6.00,0.80,6.50,6.25,6.75,6.25,6.25,6.50,7.00,6.75,6.00,6.46,0.80,6.50,6.50,7.00,6.00,6.25,6.25,7.00,7.00,6.25,6.54,0.80,6.50,6.50,7.25,6.25,6.50,6.50,7.25,7.25,6.00,6.68,
