comp,year,discp,seg,skname,nat,rank,order,tss,tes,tpcs,tded,tbv,pcs1f,pcs1j1,pcs1j2,pcs1j3,pcs1j4,pcs1j5,pcs1j6,pcs1j7,pcs1j8,pcs1j9,pcs1t,pcs2f,pcs2j1,pcs2j2,pcs2j3,pcs2j4,pcs2j5,pcs2j6,pcs2j7,pcs2j8,pcs2j9,pcs2t,pcs3f,pcs3j1,pcs3j2,pcs3j3,pcs3j4,pcs3j5,pcs3j6,pcs3j7,pcs3j8,pcs3j9,pcs3t,pcs4f,pcs4j1,pcs4j2,pcs4j3,pcs4j4,pcs4j5,pcs4j6,pcs4j7,pcs4j8,pcs4j9,pcs4t,pcs5f,pcs5j1,pcs5j2,pcs5j3,pcs5j4,pcs5j5,pcs5j6,pcs5j7,pcs5j8,pcs5j9,pcs5t,
owg,2018,1,1,Evgenia MEDVEDEVA,OAR,1,24,156.65,79.18,77.47,0.00,62.33,1.60,9.50,9.50,9.75,9.75,9.50,9.75,9.50,9.50,9.50,9.57,1.60,9.25,9.50,9.50,9.75,9.25,9.50,9.25,9.50,9.50,9.43,1.60,9.50,9.75,10.00,10.00,9.50,10.00,9.75,9.75,10.00,9.82,1.60,9.50,10.00,9.75,10.00,9.50,9.75,9.75,9.50,9.75,9.71,1.60,9.75,10.00,10.00,10.00,9.50,10.00,9.75,9.75,10.00,9.89,
owg,2018,1,1,Alina ZAGITOVA,OAR,2,22,156.65,81.62,75.03,0.00,66.01,1.60,9.00,9.25,9.50,9.50,9.00,9.50,9.25,9.50,9.25,9.32,1.60,9.25,9.00,9.25,9.25,9.00,9.25,9.25,9.25,9.25,9.21,1.60,9.50,9.50,9.75,9.75,9.50,9.75,9.25,9.75,9.50,9.61,1.60,9.00,9.25,9.75,9.50,9.25,9.50,9.50,9.00,9.00,9.29,1.60,9.50,9.00,9.75,9.50,9.25,9.75,9.50,9.75,9.00,9.46,
owg,2018,1,1,Kaetlyn OSMOND,CAN,3,23,152.15,76.50,75.65,0.00,62.12,1.60,9.75,9.25,9.75,9.25,9.75,9.00,9.50,9.50,9.50,9.50,1.60,9.50,8.75,9.50,8.75,9.50,8.75,9.25,9.50,9.25,9.21,1.60,9.75,9.00,10.00,9.25,9.75,9.25,9.50,9.75,9.75,9.57,1.60,9.50,9.00,9.75,8.75,9.75,8.75,9.50,9.75,9.50,9.39,1.60,9.75,9.25,9.75,9.00,9.75,9.25,9.75,9.75,9.75,9.61,
owg,2018,1,1,Satoko MIYAHARA,JPN,4,19,146.44,75.20,71.24,0.00,62.84,1.60,9.00,9.00,9.25,8.75,9.00,8.75,8.75,9.00,9.00,8.93,1.60,9.00,8.50,8.75,8.50,8.50,8.50,8.50,9.25,8.75,8.64,1.60,9.25,9.00,9.25,9.00,9.00,9.00,9.00,9.50,9.00,9.07,1.60,9.25,8.75,9.00,8.50,9.00,8.75,8.75,9.25,8.75,8.89,1.60,9.25,8.75,9.00,9.00,9.25,9.00,8.75,9.50,8.75,9.00,
owg,2018,1,1,Carolina KOSTNER,ITA,5,20,139.29,63.64,75.65,0.00,56.04,1.60,9.25,9.50,9.75,9.50,9.50,9.50,9.50,9.50,9.25,9.46,1.60,9.00,9.25,9.50,9.25,9.25,9.00,9.25,9.50,9.25,9.25,1.60,9.25,9.25,9.75,9.50,9.50,9.25,9.00,9.50,9.75,9.43,1.60,9.50,9.75,9.75,9.25,9.75,9.25,9.75,9.50,9.50,9.57,1.60,9.50,9.50,9.75,9.50,9.50,9.50,9.50,9.75,9.75,9.57,
owg,2018,1,1,Kaori SAKAMOTO,JPN,6,21,136.53,68.42,68.11,0.00,60.81,1.60,8.50,8.75,9.00,8.50,8.50,8.50,8.75,8.50,8.50,8.57,1.60,8.25,8.50,8.50,8.25,8.00,7.75,8.50,8.50,8.50,8.36,1.60,8.50,8.50,8.75,8.25,8.25,8.00,9.00,8.50,8.75,8.50,1.60,8.75,8.25,8.75,8.25,8.75,8.50,9.25,8.25,8.75,8.57,1.60,8.25,8.50,8.75,8.50,8.75,8.00,9.25,8.50,8.75,8.57,
owg,2018,1,1,Maria SOTSKOVA,OAR,7,13,134.24,66.94,67.30,0.00,59.01,1.60,8.50,8.50,8.50,8.50,7.75,8.25,8.25,8.50,8.25,8.39,1.60,8.25,8.25,8.25,8.25,7.75,8.00,7.75,8.25,8.25,8.14,1.60,8.75,8.75,8.75,8.50,8.00,8.50,8.00,8.75,8.50,8.54,1.60,8.50,8.50,8.50,8.50,8.25,8.50,8.25,8.25,8.75,8.43,1.60,8.25,8.75,8.75,8.75,8.00,8.75,8.50,8.50,8.50,8.57,
owg,2018,1,1,Dabin CHOI,KOR,8,17,131.49,68.74,62.75,0.00,61.87,1.60,7.75,7.75,8.00,7.50,7.75,8.25,7.75,7.75,8.75,7.86,1.60,7.25,7.25,7.75,7.50,7.25,7.75,8.00,7.50,8.00,7.57,1.60,7.50,7.75,8.00,7.75,8.00,8.00,8.50,8.25,8.50,8.04,1.60,7.50,7.50,8.00,7.75,8.00,8.00,8.00,7.75,8.25,7.86,1.60,7.25,7.25,8.00,7.75,7.75,8.00,8.25,8.25,8.25,7.89,
owg,2018,1,1,Bradie TENNELL,USA,9,15,128.34,65.41,62.93,0.00,59.91,1.60,7.75,7.75,8.00,7.75,8.00,8.00,8.00,8.00,8.75,7.93,1.60,7.50,7.25,7.50,7.50,8.00,7.75,7.75,7.75,8.50,7.68,1.60,7.25,7.50,7.75,7.50,7.75,8.00,8.25,7.75,8.50,7.79,1.60,7.50,7.50,8.00,7.50,8.25,8.25,8.50,7.75,8.25,7.93,1.60,7.25,7.50,8.00,7.75,8.25,8.50,8.25,8.00,8.25,8.00,
owg,2018,1,1,Hanul KIM,KOR,10,4,121.38,67.03,54.35,0.00,61.79,1.60,7.25,6.50,7.25,6.75,7.00,7.00,7.00,7.25,6.50,6.96,1.60,6.50,6.00,7.00,6.50,6.25,6.50,6.25,7.00,6.25,6.46,1.60,7.00,6.75,7.25,7.00,6.75,7.25,7.00,7.50,6.50,7.00,1.60,6.75,6.25,7.00,6.75,6.25,7.00,6.50,6.75,6.75,6.68,1.60,6.75,6.25,7.00,7.00,6.75,7.25,6.75,7.25,6.50,6.86,
